algorithm,category,file_name,original_bytes,encrypted_bytes,encrypt_ms,decrypt_ms,original_sha256,restored_sha256,sensitivity_result
AES-256-CBC,文本,文本.txt,1348,1412,3.103,3.352,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,拒绝解密: ValueError
RSA-1024-OAEP-Hybrid,文本,文本.txt,1348,1544,3.631,5.947,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,拒绝解密: ValueError
SM4-CBC,文本,文本.txt,1348,1412,2.188,1.919,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,拒绝解密: ValueError
ZUC-128,文本,文本.txt,1348,1400,1.178,1.071,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,557c2b064f4f24091345eac98a441948ef9b71e6541e200dd88e98231f3aa18c,拒绝解密: ValueError
AES-256-CBC,文件,文件3.xlsx,12288,12356,28.647,29.741,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,拒绝解密: ValueError
RSA-1024-OAEP-Hybrid,文件,文件3.xlsx,12288,12488,27.622,31.845,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,拒绝解密: ValueError
SM4-CBC,文件,文件3.xlsx,12288,12356,16.673,16.639,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,拒绝解密: ValueError
ZUC-128,文件,文件3.xlsx,12288,12340,9.153,8.772,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,08d9a6b8fdafe3a100189e7f168075c88fd68a02f8173fea67bc4542e2263343,拒绝解密: ValueError
