iter	RMSE
154	4.354390196
155	4.349458667
156	4.344861607
157	4.3405275
158	4.336592555
159	4.332489526
160	4.3289901
161	4.325226564
162	4.321213064
163	4.317966481
164	4.315003158
165	4.311795221
166	4.309434758
167	4.306971589
168	4.30430485
169	4.301934366
170	4.298298329
171	4.295335173
172	4.292494067
173	4.289403416
174	4.286626598
175	4.284755745
176	4.281995726
177	4.279431655
178	4.276885028
179	4.27498164
180	4.273021748
181	4.271575319
182	4.269577226
183	4.26758518
184	4.265197282
185	4.262956168
186	4.260695225
187	4.259278133
188	4.256672448
189	4.255056135
190	4.253569205
191	4.252205862
192	4.250117445
193	4.248339563
194	4.246664314
195	4.244935345
196	4.243325575
197	4.241684918
198	4.240350412
199	4.238460531
200	4.236380008
201	4.234422916
202	4.233235293
203	4.232003691
204	4.230683308
205	4.22925156
206	4.228312399
207	4.226650172
208	4.224827266
209	4.223673863
210	4.22233109
211	4.221011531
212	4.219956866
213	4.218844051
214	4.217843852
215	4.217073113
216	4.215502006
217	4.214178043
218	4.212568742
219	4.211392496
220	4.210044565
221	4.208800614
222	4.207476664
223	4.206269228
224	4.205493822
225	4.204547816
226	4.203335013
227	4.201816308
228	4.2008025
229	4.199936807
230	4.198941972
231	4.197470913
232	4.196802086
233	4.195817224
234	4.19468926
235	4.193512784
236	4.192476729
237	4.19096087
238	4.190034391
239	4.188970721
240	4.187925975
241	4.187082315
242	4.186226189
243	4.185468759
244	4.184831596
245	4.183735092
246	4.182666506
247	4.181484686
248	4.180510345
249	4.179359001
250	4.178306445
251	4.176974404
252	4.176087301
253	4.175246914
254	4.174293922
255	4.173356843
256	4.172443958
257	4.171636082
258	4.170667136
259	4.169691951
260	4.168974769
261	4.168253434
262	4.167518215
263	4.166533378
264	4.165569404
265	4.164726274
266	4.163728176
267	4.162855475
268	4.162165699
269	4.161300522
270	4.160600423
271	4.15990076
272	4.159002648
273	4.158525508
274	4.157715183
275	4.156928904
276	4.156180445
277	4.155438454
278	4.154697113
279	4.154137273
280	4.153238547
281	4.152181798
282	4.15167155
283	4.151050287
284	4.150170195
285	4.149519746
286	4.148539788
287	4.148032336
288	4.147194884
289	4.14634339
290	4.14536163
291	4.144757241
292	4.144130247
293	4.143319506
294	4.142728321
295	4.142094914
296	4.141432033
297	4.140857591
298	4.140377497
299	4.13992424
300	4.139500983
301	4.138807821
302	4.138077457
303	4.137462069
304	4.136622916
305	4.135768725
306	4.135131385
307	4.134248583
308	4.133466136
309	4.133055049
310	4.132115021
311	4.131343827
312	4.130612366
313	4.129983299
314	4.129663127
315	4.129163623
316	4.128580359
317	4.128178624
318	4.127692541
319	4.127167206
320	4.126473611
321	4.125481005
322	4.124682184
323	4.124206942
324	4.123510347
325	4.122851581
326	4.122364028
327	4.12192567
328	4.121481352
329	4.12090957
330	4.12027583
331	4.119492513
332	4.118867435
333	4.118180917
334	4.117647432
335	4.117091086
336	4.116495523
337	4.115876762
338	4.115162781
339	4.11474199
340	4.114250937
341	4.113669544
342	4.112893839
343	4.112526437
344	4.112023284
345	4.111431141
346	4.110759795
347	4.110052897
348	4.109669201
349	4.109038268
350	4.108489267
351	4.108114856
352	4.107770541
353	4.107253938
354	4.106797216
355	4.106068388
356	4.105756807
357	4.10538391
358	4.104620052
359	4.104180664
360	4.10350945
361	4.102833563
362	4.102098319
363	4.101754317
364	4.101250744
365	4.100450448
366	4.099697819
367	4.099153809
368	4.098666066
369	4.097931541
370	4.097489027
371	4.097001445
372	4.096456512
373	4.095777392
374	4.09537206
375	4.094677242
376	4.094353235
377	4.094113229
378	4.093672879
379	4.093295518
380	4.092643021
381	4.092143112
382	4.091722917
383	4.091418986
384	4.091045751
385	4.090642216
386	4.090269253
387	4.089697807
388	4.089169379
389	4.088597376
390	4.088153631
391	4.087567288
392	4.086901207
393	4.086381071
394	4.085816457
395	4.085335698
396	4.084794276
397	4.084312489
398	4.083845655
399	4.083458244
400	4.082958859
401	4.082602592
402	4.082053394
403	4.081740097
404	4.081259244
405	4.080765691
406	4.08054147
407	4.080202234
408	4.079651862
409	4.079256289
410	4.078459649
411	4.078048516
412	4.077562893
413	4.077246913
414	4.076728957
415	4.076092687
416	4.075582603
417	4.074972831
418	4.07459535
419	4.074121355
420	4.073436492
421	4.073176986
422	4.072873874
423	4.072473059
424	4.071757041
425	4.071269285
426	4.070631579
427	4.07002229
428	4.069694822
429	4.069290918
430	4.068702737
431	4.068333919
432	4.0680401
433	4.0674891
434	4.066666388
435	4.066146078
436	4.065440456
437	4.06490248
438	4.064348897
439	4.064012794
440	4.063410149
441	4.062872381
442	4.062483019
443	4.062105501
444	4.061914266
445	4.061460593
446	4.061235844
447	4.060870012
448	4.060354794
449	4.059962117
450	4.059438612
451	4.058985333
452	4.058587286
453	4.05814806
454	4.057798399
455	4.057358678
456	4.056902441
457	4.056442844
458	4.056067962
459	4.055663904
460	4.055280787
461	4.05477225
462	4.054260518
463	4.053982862
464	4.053679146
465	4.053270011
466	4.052883019
467	4.052225579
468	4.051804313
469	4.051408243
470	4.050958785
471	4.050720799
472	4.050421897
473	4.050030632
474	4.049564325
475	4.04934014
476	4.049099301
477	4.048705874
478	4.048338238
479	4.047881314
480	4.047524347
481	4.046821344
482	4.046265842
483	4.045879116
484	4.045451855
485	4.044954446
486	4.044535173
487	4.04422479
488	4.043695283
489	4.043316582
490	4.042956573
491	4.04250718
492	4.042244122
493	4.041773938
494	4.041350014
495	4.04107801
496	4.040395841
497	4.040177457
498	4.039472349
499	4.039143768
500	4.038733981
501	4.038301509
502	4.037755916
503	4.037473617
504	4.037176693
505	4.03680567
506	4.036579171
507	4.036189922
508	4.035990411
509	4.035819251
510	4.035323822
511	4.03497433
512	4.034348519
513	4.034050604
514	4.033748229
515	4.033437015
516	4.032989046
517	4.032641255
518	4.032274196
519	4.031798394
520	4.031512587
521	4.03120564
522	4.030589266
523	4.029934989
524	4.02962112
525	4.029184614
526	4.028630896
527	4.028264048
528	4.027861873
529	4.027508907
530	4.027150773
531	4.026950371
532	4.026436851
533	4.026096693
534	4.025660516
535	4.025250142
536	4.024963539
537	4.024533854
538	4.024310617
539	4.024002376
540	4.023697752
541	4.023310142
542	4.022738909
543	4.022319607
544	4.021836542
545	4.021429836
546	4.021075397
547	4.020712196
548	4.020283616
549	4.020029587
550	4.019615752
551	4.019156801
552	4.018814375
553	4.018493505
554	4.018251005
555	4.017885149
556	4.017614868
557	4.017162035
558	4.016683489
559	4.01641519
560	4.015850368
561	4.015375123
562	4.015162184
563	4.014866836
564	4.014407398
565	4.014030055
566	4.013858091
567	4.013457364
568	4.01327191
569	4.013053924
570	4.012698422
571	4.0122689
572	4.011909451
573	4.011680309
574	4.011352588
575	4.011133843
576	4.010915531
577	4.010489511
578	4.01015493
579	4.009743125
580	4.009608742
581	4.009135213
582	4.0089214
583	4.008643003
584	4.008147592
585	4.007701149
586	4.007332924
587	4.006848603
588	4.006514192
589	4.006211469
590	4.005925667
591	4.00558877
592	4.005226452
593	4.004804431
594	4.004511632
595	4.003993991
596	4.003682341
597	4.003327931
598	4.003082155
599	4.002702394
600	4.002223611
601	4.001870585
602	4.001607673
603	4.001111844
604	4.000632527
605	4.000331051
606	3.999636274
607	3.999249302
608	3.999131598
609	3.998771658
610	3.998359754
611	3.998069225
612	3.997895297
613	3.997247728
614	3.99694633
615	3.996492239
616	3.99626009
617	3.996039172
618	3.995867005
619	3.995583339
620	3.99530218
621	3.99508638
622	3.994810997
623	3.994615318
624	3.994294379
625	3.994008383
626	3.993708286
627	3.993388773
628	3.993146991
629	3.992759138
630	3.992423938
631	3.992168877
632	3.991864572
633	3.991247156
634	3.991071595
635	3.990921057
636	3.990722128
637	3.990554457
638	3.990244987
639	3.990116551
640	3.989836198
641	3.989114261
642	3.988662645
643	3.98851094
644	3.987921128
645	3.987694146
646	3.987418094
647	3.987018996
648	3.986496958
649	3.986332185
650	3.985962343
651	3.985837549
652	3.985492724
653	3.985318514
654	3.985048428
655	3.984742656
656	3.984513628
657	3.984250296
658	3.983957748
659	3.983628886
660	3.98337683
661	3.982961891
662	3.982824613
663	3.982469424
664	3.982275596
665	3.981940363
666	3.981335863
667	3.981206026
668	3.980754897
669	3.980304848
670	3.980043825
671	3.979748323
672	3.97949645
673	3.979079909
674	3.978928641
675	3.97869154
676	3.97852003
677	3.978291061
678	3.977758904
679	3.977487076
680	3.976978885
681	3.976742448
682	3.976567534
683	3.976314993
684	3.976125456
685	3.975814721
686	3.975508658
687	3.975248701
688	3.97501852
689	3.97469288
690	3.974288307
691	3.974058649
692	3.973734494
693	3.973210339
694	3.972851958
695	3.972477775
696	3.972126126
697	3.971950406
698	3.971702157
699	3.971507898
700	3.971088649
701	3.970595333
702	3.970219031
703	3.970026061
704	3.969808367
705	3.969419942
706	3.969231287
707	3.968982562
708	3.96833055
709	3.968008351
710	3.9675639
711	3.96742906
712	3.967129284
713	3.966978313
714	3.966638294
715	3.966238828
716	3.965954819
717	3.965795604
718	3.965640194
719	3.965281255
720	3.96503083
721	3.964705126
722	3.96443562
723	3.96425894
724	3.963815203
725	3.96357243
726	3.96338336
727	3.962896732
728	3.962649263
729	3.962377512
730	3.962127527
731	3.96182078
732	3.961404178
733	3.961098655
734	3.960553167
735	3.960382664
736	3.960073843
737	3.959868792
738	3.959585339
739	3.959261272
740	3.959087238
741	3.958844641
742	3.958698189
743	3.958412285
744	3.958074497
745	3.957718363
746	3.957462108
747	3.957014857
748	3.956754289
749	3.956551071
750	3.956273153
751	3.955938309
752	3.955770166
753	3.955443551
754	3.954998821
755	3.954898966
756	3.954712091
757	3.954330064
758	3.954027212
759	3.953865511
760	3.953426745
761	3.953078436
762	3.952663604
763	3.952378695
764	3.951858774
765	3.951728411
766	3.951551638
767	3.951302239
768	3.951042502
769	3.95081069
770	3.950530483
771	3.950327719
772	3.949808201
773	3.949503462
774	3.94940332
775	3.949114372
776	3.948757361
777	3.948527213
778	3.948109903
779	3.947814594
780	3.94738291
781	3.947049114
782	3.946654709
783	3.94648249
784	3.946345437
785	3.946036581
786	3.945779312
787	3.945497203
788	3.945323733
789	3.94486232
790	3.944569115
791	3.944346567
792	3.944155908
793	3.943615819
794	3.94336406
795	3.943122609
796	3.94288153
797	3.942633734
798	3.942444479
799	3.942086529
800	3.941726661
801	3.941301868
802	3.941020715
803	3.940776991
804	3.940528028
805	3.940225344
806	3.940125088
807	3.939941064
808	3.939672682
809	3.939448334
810	3.939090987
811	3.938679174
812	3.938260994
813	3.938103665
814	3.937603842
815	3.937252854
816	3.937043874
817	3.936704203
818	3.936578976
819	3.936143449
820	3.935669018
821	3.935311082
822	3.935063886
823	3.934884268
824	3.934596004
825	3.934254855
826	3.933920645
827	3.933460352
828	3.933266436
829	3.933093046
830	3.932845941
831	3.932521853
832	3.932362412
833	3.932135898
834	3.931984792
835	3.931745274
836	3.931573564
837	3.931015467
838	3.930831489
839	3.930678869
840	3.930517384
841	3.930158831
842	3.929704628
843	3.929370115
844	3.929132224
845	3.92880071
846	3.928620642
847	3.928395701
848	3.928225756
849	3.92813853
850	3.927859762
851	3.927564676
852	3.927126054
853	3.927013588
854	3.926826988
855	3.926699358
856	3.926502725
857	3.926370459
858	3.926239093
859	3.92592169
860	3.92571887
861	3.925420973
862	3.925183024
863	3.924939093
864	3.924600622
865	3.924249261
866	3.924046315
867	3.923891589
868	3.923772299
869	3.923491914
870	3.923269937
871	3.923030562
872	3.922692173
873	3.922365202
874	3.922019553
875	3.921531709
876	3.921310523
877	3.921180746
878	3.920967869
879	3.920724671
880	3.920519771
881	3.920090754
882	3.919978261
883	3.919702932
884	3.919339817
885	3.919048527
886	3.918698386
887	3.918426158
888	3.918177023
889	3.917907899
890	3.917480306
891	3.917132655
892	3.917036857
893	3.916823802
894	3.916561919
895	3.916396735
896	3.916201421
897	3.915951453
898	3.915791998
899	3.915452464
900	3.915166443
901	3.914918807
902	3.914493403
903	3.914170443
904	3.913673725
905	3.913419614
906	3.913121015
907	3.912779466
908	3.912488039
909	3.91226347
910	3.911987187
911	3.911456603
912	3.911171223
913	3.910906932
914	3.910672648
915	3.910428972
916	3.910153524
917	3.909860417
918	3.909690582
919	3.909421542
920	3.909347279
921	3.90908287
922	3.908589244
923	3.908282422
924	3.908023207
925	3.907810265
926	3.907559208
927	3.907209775
928	3.907017252
929	3.906811092
930	3.906541196
931	3.906083093
932	3.905808715
933	3.905654733
934	3.905531051
935	3.905240794
936	3.905032588
937	3.904809651
938	3.904500371
939	3.904326478
940	3.904151058
941	3.903964932
942	3.903697252
943	3.903511185
944	3.903213648
945	3.903032896
946	3.902664244
947	3.902547827
948	3.902349767
949	3.902159069
