method,precision,recall,f1,time
FMM,1.0,1.0,1.0,0.01430511474609375
BMM,1.0,1.0,1.0,0.010967254638671875
BIMM,1.0,1.0,1.0,0.015974044799804688
HMM,0.4444444444444444,0.5,0.47058823529411764,0.30517578125
jieba,1.0,1.0,1.0,697.9446411132812
CRF,0.7777777777777778,0.875,0.823529411764706,0.3457069396972656
